Date,Symbol,Revenue,Total Revenue,"Cost of Revenue, Total",Gross Profit,"Selling/General/Admin. Expenses, Total",Research & Development,Depreciation/Amortization,Total Operating Expense,Operating Income,"Interest Inc.(Exp.),Net-Non-Op., Total","Other, Net",Net Income Before Taxes,Provision for Income Taxes,Net Income After Taxes,Net Income Before Extra. Items,Net Income,Income Available to Com Excl ExtraOrd,Income Available to Com Incl ExtraOrd,Diluted Net Income,Diluted Weighted Average Shares,Diluted EPS Excluding ExtraOrd Items,DPS - Common Stock Primary Issue,Diluted Normalized EPS,Cash & Equivalents,Short Term Investments,Cash and Short Term Investments,"Accounts Receivable - Trade, Net","Total Receivables, Net",Prepaid Expenses,"Other Current Assets, Total",Total Current Assets,"Property/Plant/Equipment, Total - Net","Goodwill, Net","Intangibles, Net","Other Long Term Assets, Total",Total Assets,Accounts Payable,Accrued Expenses,Notes Payable/Short Term Debt,Current Port. of  LT Debt/Capital Leases,"Other Current liabilities, Total",Total Current Liabilities,Long Term Debt,Total Long Term Debt,Total Debt,Deferred Income Tax,"Other Liabilities, Total",Total Liabilities,"Preferred Stock - Non Redeemable, Net","Common Stock, Total",Additional Paid-In Capital,Retained Earnings (Accumulated Deficit),Treasury Stock - Common,Unrealized Gain (Loss),"Other Equity, Total",Total Equity,Total Liabilities & Shareholders' Equity,Total Common Shares Outstanding,"Tangible Book Value per Share, Common Eq",Net Income/Starting Line,Depreciation/Depletion,Deferred Taxes,Non-Cash Items,Cash Taxes Paid,Cash Interest Paid,Changes in Working Capital,Cash from Operating Activities,Capital Expenditures,"Other Investing Cash Flow Items, Total",Cash from Investing Activities,Financing Cash Flow Items,"Issuance (Retirement) of Stock, Net",Cash from Financing Activities,Foreign Exchange Effects,Net Change in Cash,"Issuance (Retirement) of Debt, Net",Total Extraordinary Items,Close,Volume,Sector,Exchange,Name,Index,Desc,Company Type
20181105,AAPL,62900.0,62900.0,38816.0,24084.0,4216.0,3750.0,,46782.0,16118.0,443.0,-140.0,16421.0,3396.0,13025.0,13025.0,14125,13025,14125,14125,4847.547,2.68693,0.73,2.68693,14338,40388,66301,23186,48995,,12087,131339,41304,,,22283,365725,55888,,11964,8784,39293,115929,93735,93735,114483,,48914,258578,,40201,,70400,,-3209,-245,107147,365725,4754.986,22.53361,59531,10903,-32590,4896,10417,3022,34694,77434,-13313,29379,16066,-2527,-72069,-87876,,5624,432,1100.0,201.59,512499.0,Technology,NASDAQ,Apple Inc.,S&P 500,Common Stock,Equity Issue
20181105,AMZN,56576,56576,33003,23573,12619,7162,,52852,3724,-241,-93,3390,508,2882,2883,2883,2883,2883,2883,501,5.75449,,5.75449,20425,9340,29765,14258,14258,,,59885,58019,14553,,10610,143695,30904,11085,0,7335,6000,55324,24684,39884,47219,,9362,104570,0,5,25375,16616,-1837,,-1034,39125,143695,489,50.24949,7046,11079,268,4225,1013,733,-8372,14246,-9693,896,-8797,,,-5925,-348,-824,-5925,,1627.8,28004.0,Cyclical Consumer Goods & Services,NASDAQ,"Amazon.com, Inc.",S&P 500,Common Stock,Equity Issue
20181105,FB,13727.0,13727.0,2418.0,11309.0,2871.0,2657.0,,7946.0,5781.0,176.0,-45.0,5912.0,775.0,5137.0,5137.0,5137.0,5137.0,5137.0,5137.0,2913.0,1.76347,0.0,1.76347,6873.0,31569.0,41206.0,6058.0,6058.0,1883.0,,49147.0,21112.0,18304.0,1451.0,2438.0,92452.0,1092.0,4255.0,0.0,0.0,115.0,5462.0,,0.0,0.0,,6648.0,12110.0,,42352.0,,38767.0,,,-777.0,80342.0,92452.0,2873.0,21.08841,15230.0,3090.0,83.0,3199.0,2728.0,,54.0,21656.0,-9614.0,1696.0,-7918.0,-2652.0,-9379.0,-12031.0,-167.0,1540.0,,,148.68,116077.0,Technology,NASDAQ,Facebook Inc,S&P 500,Common Stock,Equity Issue
20181105,MMM,8152,8152,4160,3992,1547,430,,6136,2016,-70,19,1965,419,1546,1543,1543,1543,1543,1543,598.4,2.57854,1.36,2.57854,3185,338,3523,5329,5329,745,385,14419,8630,10123,2726,1377,37275,2029,783,0,1307,3217,7336,13539,13539,14846,,6089,27027,,9,5597,40120,-28510,,-6968,10248,37275,582.28714,-4.46687,4014,1117,-73,-269,,,-608,4181,-1046,1684,638,-36,-3200,-4549,-138,132,1093,0.0,193.25,15004.0,Industrials,New York Stock Exchange,3M Co,S&P 500,Common Stock,Equity Issue
20181105,MSFT,29084,29084,9905,19179,5247,3977,,19129,9955,280,-14,10221,1397,8824,8824,8824,8824,8824,8824,7766,1.13623,0.42,1.13623,15137,120634,135771,17390,17390,,7420,164195,38164,35855,7579,9792,257619,8511,5643,0,6700,35423,56277,69733,74204,80904,1977,39194,171652,,48000.0,23303.0,17279,,-1178,-1437,85967,257619,7680,5.53815,8824,2837,-247,867,,,1376,13657,-3602,649,-2953,-780,-3384,-7384,-129,3191,0,,107.51,229022.0,Technology,NASDAQ,Microsoft Corporation,S&P 500,Common Stock,Equity Issue
20181105,NVDA,3181,3181,1260,1921,258,605,,2123,1058,22,1,1081,-11,1092,1092,1230,1092,1230,1230,625,1.7472,0.15,1.76384,721,6870,7591,2219,2219,159,,11386,1292,618,49,312,13657,902,583,0,3.0,120,1608,1987,1987,1990,23,564,4182,0.0,1,5891,12096,-8489,,-24,9475,13657,610,14.43934,3575,184,30,365,,,-1309,2845,-397,-3740,-4137,-984,-720,-1989,,-3281,-12,138.0,211.77,70032.0,Technology,NASDAQ,NVIDIA Corporation,S&P 500,Common Stock,Equity Issue
20181106,AAPL,62900.0,62900.0,38816.0,24084.0,4216.0,3750.0,,46782.0,16118.0,443.0,-140.0,16421.0,3396.0,13025.0,13025.0,14125,13025,14125,14125,4847.547,2.68693,0.73,2.68693,14338,40388,66301,23186,48995,,12087,131339,41304,,,22283,365725,55888,,11964,8784,39293,115929,93735,93735,114483,,48914,258578,,40201,,70400,,-3209,-245,107147,365725,4754.986,22.53361,59531,10903,-32590,4896,10417,3022,34694,77434,-13313,29379,16066,-2527,-72069,-87876,,5624,432,1100.0,203.77,247430.0,Technology,NASDAQ,Apple Inc.,S&P 500,Common Stock,Equity Issue
20181106,AMZN,56576,56576,33003,23573,12619,7162,,52852,3724,-241,-93,3390,508,2882,2883,2883,2883,2883,2883,501,5.75449,,5.75449,20425,9340,29765,14258,14258,,,59885,58019,14553,,10610,143695,30904,11085,0,7335,6000,55324,24684,39884,47219,,9362,104570,0,5,25375,16616,-1837,,-1034,39125,143695,489,50.24949,7046,11079,268,4225,1013,733,-8372,14246,-9693,896,-8797,,,-5925,-348,-824,-5925,,1642.81,21568.0,Cyclical Consumer Goods & Services,NASDAQ,"Amazon.com, Inc.",S&P 500,Common Stock,Equity Issue
20181106,FB,13727.0,13727.0,2418.0,11309.0,2871.0,2657.0,,7946.0,5781.0,176.0,-45.0,5912.0,775.0,5137.0,5137.0,5137.0,5137.0,5137.0,5137.0,2913.0,1.76347,0.0,1.76347,6873.0,31569.0,41206.0,6058.0,6058.0,1883.0,,49147.0,21112.0,18304.0,1451.0,2438.0,92452.0,1092.0,4255.0,0.0,0.0,115.0,5462.0,,0.0,0.0,,6648.0,12110.0,,42352.0,,38767.0,,,-777.0,80342.0,92452.0,2873.0,21.08841,15230.0,3090.0,83.0,3199.0,2728.0,,54.0,21656.0,-9614.0,1696.0,-7918.0,-2652.0,-9379.0,-12031.0,-167.0,1540.0,,,149.94,125814.0,Technology,NASDAQ,Facebook Inc,S&P 500,Common Stock,Equity Issue
20181106,MMM,8152,8152,4160,3992,1547,430,,6136,2016,-70,19,1965,419,1546,1543,1543,1543,1543,1543,598.4,2.57854,1.36,2.57854,3185,338,3523,5329,5329,745,385,14419,8630,10123,2726,1377,37275,2029,783,0,1307,3217,7336,13539,13539,14846,,6089,27027,,9,5597,40120,-28510,,-6968,10248,37275,582.28714,-4.46687,4014,1117,-73,-269,,,-608,4181,-1046,1684,638,-36,-3200,-4549,-138,132,1093,0.0,195.3,10637.0,Industrials,New York Stock Exchange,3M Co,S&P 500,Common Stock,Equity Issue
20181106,MSFT,29084,29084,9905,19179,5247,3977,,19129,9955,280,-14,10221,1397,8824,8824,8824,8824,8824,8824,7766,1.13623,0.42,1.13623,15137,120634,135771,17390,17390,,7420,164195,38164,35855,7579,9792,257619,8511,5643,0,6700,35423,56277,69733,74204,80904,1977,39194,171652,,48000.0,23303.0,17279,,-1178,-1437,85967,257619,7680,5.53815,8824,2837,-247,867,,,1376,13657,-3602,649,-2953,-780,-3384,-7384,-129,3191,0,,107.72,189944.0,Technology,NASDAQ,Microsoft Corporation,S&P 500,Common Stock,Equity Issue
20181106,NVDA,3181,3181,1260,1921,258,605,,2123,1058,22,1,1081,-11,1092,1092,1230,1092,1230,1230,625,1.7472,0.15,1.76384,721,6870,7591,2219,2219,159,,11386,1292,618,49,312,13657,902,583,0,3.0,120,1608,1987,1987,1990,23,564,4182,0.0,1,5891,12096,-8489,,-24,9475,13657,610,14.43934,3575,184,30,365,,,-1309,2845,-397,-3740,-4137,-984,-720,-1989,,-3281,-12,138.0,211.06,54765.0,Technology,NASDAQ,NVIDIA Corporation,S&P 500,Common Stock,Equity Issue
