date,PEP,CERN,FBHS,WEN,WRK,VRSN,QCOM,HPE,K,NLOK,WMT,SJM,NVR,W,GLW,DOCU,MDLZ,FIVE,AZO,GPS,FTV,DELL,CIEN,IPG,MSI,TTD,WDC,CLGX,RNG,RL,VEEV,KO,QRVO,FLIR,FL,QSR,FFIV,APTV,WSM,TAP,JKHY,EEFT,UBER,ANSS,AKAM,WYNN,LDOS,FTNT,TXRH,NUAN,OLLI,CHGG,BKI,IPHI,TSLA,AMD,SHOP,TEL,SFIX,FIS,ENPH,CGNX,KSS,SNPS,DKS,CVNA,ROST,NOW,EL,KDP,LYV,BFAM,AMZN,CAG,CHNG,TJX,PII,THO,TIF,XRX,TWLO,CMCSA,DECK,PENN,SSNC,DNKN,COST,VMW,PVH,CMG,MNST,RAD,NFLX,EPAM,ULTA,DXC,CDAY,FICO,EA,BLL,GM,PHM,LW,SYY,CDW,APH,TGT,PM,ADI,MO,NTAP,SWKS,CRM,PG,ORLY,KHC,HD,GDDY,WBA,MCD,ATVI,LRCX,VFC,WING,MTN,DIS,SNAP,LVS,TTWO,ZNGA,KEYS,DLTR,GRMN,EDU,PZZA,STX,ZS,MRVL,ZEN,CTSH,ADM,WHR,USFD,INTU,HRL,EAT,DRI,GIS,CAKE,MSFT,DHI,CLDR,TDY,ETSY,LULU,TYL,PLNT,LITE,FB,POOL,DISCA,JWN,TDOC,PAYC,EBAY,SPLK,ROKU,ARMK,HSY,CSCO,BWA,BERY,STZ,NTNX,KLAC,BBBY,DISH,CREE,SIRI,MPWR,YUMC,PTC,PFPT,SHAK,ORCL,OMC,AMAT,PCTY,KR,NKE,GPC,ACN,FLT,ADBE,XLNX,TOL,SE,NXPI,GRUB,CBRL,TWTR,AEO,TER,IP,CTXS,UAA,ANET,SQ,MKC,KBH,IT,SAM,CDNS,EVBG,LB,AVGO,MELI,PANW,RH,PLAY,HUBS,MU,FSLR,WEX,SABR,NEWR,FISV,CLX,Z,ZBRA,TPX,FIVN,LKQ,WDAY,CPRI,CCK,BG,JNPR,KMX,CHTR,AAP,MGM,HOG,BR,KMB,MXIM,SMAR,M,LOGM,HBI,ERI,CNK,CZR,BYND,SEDG,FOXA,LOW,TXN,OLED,HPQ,SBUX,ON,SIX,IBM,CPB,YUM,H,COTY,BURL,TPR,DG,MDB,HAS,F,NVDA,DPZ,LEA,BBY,PKG,GOOGL,AZPN,TSCO,TEAM,MCHP,DBX,TSN,OKTA,MHK,CHD,CL,WIX,HLT,COUP,MAR,ROL,GWRE,AAPL,INTC,LEN,IIVI,TAL,ADSK,AYX
2017-07-19,115.34,65.57,67.11,15.65,59.5,98.61,56.78,17.67,66.35,31.02,75.87,116.76,2482.73,75.82,31.73,,44.14,47.87,493.44,23.29,63.97,35.221,25.58,24.83,89.78,54.69,94.48,43.66,36.0,72.97,63.74,44.83,67.64,38.27,48.54,61.54,127.64,92.89,44.78,88.53,106.15,91.07,,126.18,52.1,133.17,53.39,41.1,50.38,17.55,43.05,13.86,42.0,37.85,325.26,13.55,91.9,83.11,,89.87,0.8,45.05,39.73,76.41,37.25,22.26,54.42,110.12,96.94,91.4,36.39,79.7,1026.87,33.85,,35.15,92.45,104.79,91.86,29.38,31.49,39.34,66.08,20.73,39.62,53.53,151.24,92.26,114.07,372.83,52.23,52.6,183.86,85.57,256.75,78.71,,143.11,111.58,42.53,36.47,24.46,44.38,51.0,64.06,75.58,54.1,121.62,80.37,73.55,44.16,105.41,89.56,88.35,186.91,85.69,153.3,44.0,79.56,153.89,61.33,164.23,56.55,30.8,206.02,106.82,14.97,61.92,78.43,3.7,41.94,70.35,51.66,80.23,75.96,39.24,,16.48,29.15,69.5,41.28,198.34,28.0,135.19,32.62,35.81,89.86,53.85,50.4,73.86,36.64,18.78,136.5,14.6,61.35,177.52,22.78,61.55,164.14,117.87,27.18,46.94,35.25,69.59,37.08,61.95,,40.72,106.09,31.9,46.76,58.19,198.3,24.41,101.39,29.19,65.09,26.25,5.44,103.61,37.05,58.92,93.17,34.42,51.0,80.74,47.18,47.52,22.94,57.77,82.96,127.78,149.58,148.92,65.59,39.49,,109.6,45.53,157.51,20.12,12.11,34.81,57.51,82.78,20.49,157.63,26.36,92.07,23.43,128.85,131.45,35.32,23.44,44.58,254.4,280.56,140.77,77.4,66.71,74.1,31.82,45.67,112.01,21.85,48.8,62.88,130.53,45.63,100.62,55.57,22.52,33.39,102.7,34.73,60.62,78.69,29.37,64.83,346.61,100.87,32.79,48.77,75.53,123.95,47.11,,22.99,113.25,23.15,19.8,38.17,12.85,,22.05,,76.83,82.16,124.3,18.7,58.11,15.66,57.29,147.53,52.57,74.15,56.23,18.7,90.47,48.15,71.39,,114.04,11.83,165.1,212.52,149.13,56.17,112.28,992.77,57.21,51.84,36.26,82.31,,61.13,24.15,247.89,52.95,72.49,76.15,62.12,30.22,102.24,27.587,71.12,151.02,34.56,53.3,37.9,24.647,110.25,22.45
2017-07-20,115.51,65.46,65.63,15.84,58.91,98.84,53.97,17.9,66.75,31.17,76.02,118.25,2447.29,76.75,31.71,,43.81,47.02,502.56,23.51,63.5,35.391999999999996,25.84,25.44,89.96,54.52,95.01,43.57,34.8,73.76,63.29,44.82,68.72,38.41,47.98,61.54,127.24,93.1,45.17,87.54,106.45,91.36,,126.01,52.36,132.0,53.62,40.71,50.27,16.85,43.6,13.98,42.15,38.67,329.92,13.8,90.87,82.59,,89.81,0.84,45.155,39.99,75.82,37.23,21.6,54.65,109.84,97.11,91.26,36.38,79.68,1028.7,33.75,,34.8,96.43,105.22,92.63,29.41,31.06,39.49,65.84,20.65,39.73,53.36,150.99,92.54,115.75,356.05,52.37,50.8,183.6,86.58,255.74,78.64,,142.75,111.97,42.42,36.41,24.29,44.28,50.82,63.67,75.66,54.58,119.86,80.85,73.59,44.6,107.64,90.54,88.6,188.69,85.9,147.03,43.18,79.8,154.21,61.08,164.8,57.71,31.25,206.11,107.36,14.89,62.16,78.03,3.76,41.8,70.77,51.33,80.61,76.46,39.42,,16.48,29.2,69.96,41.42,189.74,27.84,135.35,32.93,36.17,89.57,54.17,50.63,74.22,36.33,18.8,135.47,14.5,61.11,177.56,23.12,60.45,164.53,106.75,26.6,47.1,34.45,70.05,37.18,61.56,,40.68,106.28,31.86,46.29,57.36,198.12,24.05,101.7,29.54,65.09,26.46,5.47,105.0,37.48,54.1,92.48,35.02,51.13,82.7,47.25,47.55,23.26,59.1,81.69,128.54,149.0,149.94,65.81,39.25,,109.71,45.79,157.83,20.53,12.07,35.33,56.92,82.58,20.64,156.8,26.39,92.48,23.36,127.44,132.5,35.09,23.11,45.05,253.43,282.08,139.51,76.72,67.63,73.95,32.0,46.27,113.56,22.28,47.7,63.115,130.89,44.56,100.0,55.61,22.43,33.42,103.13,35.02,59.85,79.58,29.22,64.38,345.3,103.23,33.73,48.77,75.25,123.71,47.84,,23.07,112.45,23.26,20.6,38.54,12.7,,22.3,,72.56,82.69,123.35,18.94,58.03,15.72,56.28,147.66,51.92,74.62,55.39,18.89,87.49,48.08,71.35,,114.9,11.7,167.5,212.44,148.36,53.96,110.46,992.19,56.46,52.03,35.98,83.04,,60.93,24.03,242.58,52.99,72.09,73.2,62.01,30.82,102.4,27.506999999999998,71.36,150.34,34.75,53.26,37.85,24.432,109.91,22.23
2017-07-21,116.63,65.38,65.88,15.86,58.7,98.95,53.84,18.01,67.22,31.18,76.15,118.48,2648.45,76.06,31.85,,44.03,46.87,511.46,23.78,63.25,35.221,26.1,25.51,90.52,52.33,94.82,43.4,34.95,74.88,63.17,45.03,69.29,38.12,47.21,61.4,126.9,90.93,45.16,87.98,106.19,90.83,,126.67,52.13,134.14,53.44,40.37,50.54,17.2,43.85,13.88,41.9,38.99,328.4,13.88,89.42,82.03,,90.0,0.86,45.92,40.46,75.91,37.16,21.4,54.31,108.19,97.95,91.38,36.66,79.55,1025.67,33.88,,34.46,94.33,104.19,93.71,29.45,30.93,39.63,66.27,20.5,39.59,53.62,150.44,92.27,116.98,345.34,52.58,49.6,188.54,87.26,253.4,79.94,,142.41,112.22,42.92,36.07,24.31,45.0,51.08,63.52,75.57,54.84,119.58,78.96,73.42,44.76,107.47,89.69,88.61,188.19,86.16,146.65,43.05,78.9,153.92,60.93,163.53,58.65,31.45,208.43,107.09,14.48,62.36,79.25,3.78,41.97,70.89,51.59,79.11,76.54,39.58,,16.25,29.16,69.98,41.26,191.22,28.13,134.84,33.23,36.22,88.68,54.35,49.85,73.79,36.61,18.25,135.97,14.62,61.94,177.34,22.8,63.35,164.43,105.84,26.55,47.44,34.4,69.64,36.61,61.06,,40.55,106.39,31.84,44.92,57.19,198.52,23.73,99.89,29.26,64.72,26.27,5.47,103.75,37.16,55.22,91.49,34.94,50.8,82.73,46.81,47.46,23.26,59.95,82.71,128.85,148.25,149.52,64.88,39.3,,109.86,45.25,158.52,20.11,11.84,35.13,56.64,81.86,20.64,152.92,26.85,93.67,23.3,128.26,137.3,34.98,23.2,44.94,253.11,280.26,138.72,74.09,66.85,73.6,32.01,45.15,113.23,22.01,47.08,63.355,132.24,44.43,98.83,55.95,22.46,33.5,102.64,35.18,59.83,79.63,29.43,66.09,350.07,105.27,34.03,48.26,75.26,125.28,45.1,,23.36,111.3,23.55,20.6,38.42,12.7,,22.25,,73.84,81.7,123.1,19.15,57.98,15.2,55.87,147.08,52.0,74.74,55.21,18.92,85.69,48.74,72.2,,115.95,11.53,168.1,213.22,144.51,54.14,109.46,993.84,56.3,52.61,35.75,80.88,,61.88,24.27,245.12,53.26,73.27,73.1,62.47,29.5,102.85,27.58,71.05,150.27,34.73,53.33,38.2,24.288,109.75,21.49
2017-07-24,116.13,65.74,65.71,15.78,58.62,99.96,53.22,17.84,66.83,31.08,76.89,119.61,2664.69,76.16,31.85,,43.75,45.61,498.25,23.17,63.29,35.243,26.51,25.57,90.67,54.11,94.62,43.7,35.35,73.04,65.79,44.84,69.17,38.29,45.05,60.73,126.79,90.5,44.27,87.96,106.19,92.28,,127.39,52.37,138.53,53.35,40.55,50.29,17.45,43.75,14.22,42.4,39.22,342.52,14.16,93.61,81.67,,90.12,0.89,47.435,39.36,76.34,35.12,21.62,53.07,107.95,97.75,91.5,36.86,79.59,1038.95,33.84,,33.45,92.8,105.37,93.44,30.56,30.99,39.47,62.92,21.11,39.67,53.64,151.0,92.29,116.52,339.98,52.73,49.8,187.91,87.36,252.08,80.25,,144.05,113.75,42.68,35.82,24.42,44.75,51.55,63.51,75.64,54.05,118.89,78.75,72.64,44.86,105.86,89.67,88.18,184.43,86.22,144.58,43.6,79.6,151.85,61.44,164.12,58.88,31.17,209.91,107.0,14.08,62.71,79.67,3.75,42.5,69.28,51.68,80.49,75.35,39.76,,16.23,30.12,69.96,41.38,190.08,28.22,136.25,33.31,35.73,86.63,54.48,49.25,73.6,36.56,18.75,136.63,14.49,62.02,180.06,22.76,67.95,166.0,108.27,26.49,46.9,34.3,71.7,36.38,61.3,,40.49,105.3,31.86,44.72,56.73,196.0,23.36,100.21,28.17,64.33,26.15,5.38,104.85,37.18,55.73,91.6,34.62,50.76,82.12,46.78,48.37,23.23,58.95,81.81,128.01,148.36,149.53,64.26,39.21,,109.55,45.44,157.73,20.0,11.51,35.66,56.75,81.58,20.27,155.22,26.75,93.95,23.4,128.46,130.5,35.07,23.37,44.26,253.03,282.38,139.45,75.24,65.97,75.45,31.67,44.98,113.32,21.91,47.48,63.24,131.32,44.73,100.32,55.77,22.44,33.01,103.65,34.91,59.94,80.13,29.46,65.7,348.08,103.17,33.99,48.48,75.99,123.81,44.52,,22.69,111.85,23.24,20.9,38.46,12.9,,22.4,,74.31,80.92,123.9,19.24,58.02,15.13,55.62,145.99,52.01,74.59,54.85,19.18,84.82,48.55,71.98,,105.0,11.29,166.15,213.97,144.03,54.8,108.99,998.31,56.68,51.52,36.41,80.55,,61.61,23.66,244.02,52.8,71.85,75.65,62.01,30.01,102.71,27.68,72.13,152.09,34.5,52.88,40.45,24.653000000000002,110.81,21.72
2017-07-25,116.45,65.55,65.93,15.95,58.83,100.98,53.27,17.88,67.57,31.52,78.52,121.02,2673.51,76.91,32.13,,44.24,46.76,511.01,23.97,63.07,35.265,26.8,22.16,91.39,55.68,93.75,43.76,35.65,74.98,64.93,45.24,69.295,38.78,45.75,61.77,128.02,90.93,45.09,88.58,106.48,92.83,,127.91,53.28,138.98,53.89,40.71,50.59,17.39,44.25,14.25,42.5,38.77,339.6,14.11,92.16,83.22,,89.7,0.99,47.565,39.97,76.4,35.8,20.87,54.03,107.78,98.75,91.89,36.63,79.45,1039.87,34.16,,34.35,93.87,107.1,95.04,31.03,31.4,39.75,65.49,21.66,39.82,53.23,153.17,92.38,118.73,348.62,53.39,48.8,186.97,86.58,256.61,80.06,,145.54,113.66,42.51,35.57,24.54,45.68,51.97,63.8,75.84,55.1,117.82,79.52,72.24,44.76,106.39,90.63,89.14,186.85,87.42,146.97,43.55,80.06,159.07,60.95,164.46,61.05,31.29,209.87,106.42,13.89,62.62,80.85,3.74,42.83,70.59,52.56,80.7,74.51,33.2,,16.0,30.07,69.97,41.96,190.95,28.32,136.84,34.11,36.61,86.85,55.12,50.4,74.19,37.0,18.95,137.41,14.65,61.9,181.01,22.76,66.95,165.28,106.67,25.93,48.09,34.7,70.98,36.32,61.48,,40.27,107.44,32.12,45.84,56.89,193.67,23.73,99.12,28.31,64.44,26.44,5.39,104.93,36.8,55.74,90.71,34.96,51.17,79.5,46.4,48.0,23.68,59.39,83.32,128.95,150.5,148.21,64.46,39.79,,109.71,45.61,158.43,19.97,11.93,36.1,56.9,81.79,20.11,158.0,26.89,94.81,23.62,128.47,134.5,36.64,23.66,45.43,254.3,279.26,139.46,72.7,64.87,74.8,29.9,45.46,114.31,22.04,48.2,63.195,132.87,45.56,100.22,56.44,22.34,32.9,103.83,34.93,59.19,80.59,29.96,66.18,348.0,105.29,34.27,48.14,76.66,124.68,44.62,,23.49,112.55,23.57,20.95,38.81,12.85,,22.7,,75.69,81.39,125.1,19.41,58.55,15.08,55.79,146.19,52.53,74.8,55.24,19.53,86.83,48.52,73.57,,106.32,11.27,165.35,192.4,145.97,55.32,108.58,969.03,57.26,53.53,38.0,80.94,,62.72,23.68,241.27,53.33,72.05,75.95,63.08,30.61,103.06,27.74,72.64,152.74,34.67,53.19,39.75,24.08,112.26,21.47
2017-07-26,117.19,64.62,65.91,15.83,58.15,101.82,53.14,17.61,67.31,31.27,78.9,120.71,2678.94,79.36,30.42,,44.22,47.25,515.97,23.96,62.18,35.437,26.06,21.44,91.84,54.97,92.96,45.13,35.95,74.66,65.05,45.74,69.54,38.37,46.1,61.49,128.2,90.67,45.08,89.04,106.69,94.2,,127.88,45.49,132.0,53.48,40.58,49.41,17.36,44.1,15.25,43.5,39.02,343.85,14.76,93.92,80.65,,90.69,1.01,47.7,40.25,76.69,36.21,21.35,53.96,109.72,98.92,92.15,36.7,79.18,1052.8,33.83,,34.235,89.99,107.17,95.09,30.49,31.5,39.35,63.75,21.31,39.68,52.52,152.09,92.36,118.41,340.6,53.57,47.8,189.08,86.98,247.24,80.06,,145.35,118.0,42.41,35.62,24.29,44.28,52.11,63.93,74.94,54.96,117.65,80.72,71.73,44.36,107.33,91.07,89.3,187.43,87.66,146.69,43.79,78.68,156.51,62.64,168.34,60.87,31.42,212.75,106.94,13.4,61.65,81.46,3.72,42.53,70.92,52.25,82.87,73.75,32.34,,16.05,30.78,70.05,41.71,190.19,28.28,137.14,34.01,36.13,85.83,55.13,48.96,74.05,36.29,18.6,136.1,14.92,61.47,181.33,23.0,64.9,165.61,108.96,26.58,47.86,34.35,70.77,37.04,62.06,,39.88,106.0,31.66,45.86,56.76,193.38,22.97,100.86,29.24,64.27,26.51,5.39,106.79,36.51,55.88,89.86,35.01,51.17,78.83,47.45,47.96,23.72,58.36,82.81,129.51,153.75,149.78,65.32,39.29,,109.93,47.04,156.39,19.61,11.52,36.8,56.39,81.52,19.65,157.2,27.31,94.7,23.18,129.53,133.95,37.18,23.65,45.01,257.01,286.02,138.73,70.99,64.69,75.25,29.81,45.44,113.78,21.89,48.15,63.505,133.43,45.44,100.06,56.85,22.64,32.84,105.2,35.5,59.23,79.71,28.06,66.73,348.77,106.7,33.87,48.64,76.08,122.24,45.19,,23.54,113.25,23.39,20.8,39.49,12.8,,22.55,,75.98,82.53,123.65,19.26,57.94,15.64,59.23,145.36,52.61,74.59,54.62,19.81,87.14,47.89,74.6,,106.1,11.06,167.26,186.43,150.61,55.57,108.8,965.31,57.39,53.4,38.84,82.69,,63.03,23.52,240.13,53.67,73.0,76.85,62.52,30.82,103.04,28.993000000000002,72.81,153.46,34.75,52.75,38.45,24.866999999999997,114.08,21.24
2017-07-27,117.34,63.52,65.74,15.85,58.72,101.95,52.49,17.55,67.68,30.94,79.78,122.13,2643.44,77.05,29.49,,44.24,47.83,529.01,24.26,62.58,35.166,25.61,21.35,92.21,53.1,91.9,45.84,35.8,75.61,62.49,46.12,69.1,37.24,47.25,61.17,119.02,90.51,46.6,89.57,106.69,95.46,,127.58,46.01,128.02,53.4,38.42,48.88,17.09,44.8,14.27,42.95,37.76,334.46,14.12,90.43,80.57,,91.05,0.95,47.495,41.52,76.36,36.72,20.99,55.12,110.54,99.53,92.03,37.06,78.92,1046.0,34.35,,34.82,89.24,106.59,95.19,30.58,30.15,39.43,64.41,20.74,39.28,53.5,152.52,92.0,119.16,349.84,54.03,46.4,182.68,85.79,249.43,78.48,,143.99,117.6,42.29,35.94,24.36,43.86,52.56,63.36,75.84,56.05,118.19,79.55,73.96,44.01,107.0,90.51,90.68,201.31,88.19,147.73,43.36,78.78,156.95,61.17,164.76,60.81,30.0,211.18,110.0,14.0,62.27,79.71,3.66,42.22,72.24,51.88,79.23,73.3,32.56,,15.87,30.54,69.72,41.78,178.24,28.13,136.87,34.33,36.35,84.49,55.49,48.75,73.16,36.07,17.8,135.95,14.84,61.47,169.9,22.81,61.9,170.44,109.26,26.39,48.97,32.5,69.26,36.17,60.33,,39.81,106.45,31.57,47.02,56.76,194.46,21.82,99.93,30.42,63.88,26.29,5.83,104.58,36.21,55.2,88.44,34.74,50.45,78.87,46.04,46.56,23.95,58.15,84.79,128.16,151.79,146.2,63.84,39.32,,110.34,46.99,157.02,16.84,11.99,34.38,57.49,79.74,19.42,152.04,25.92,95.25,23.14,128.23,135.65,36.98,23.48,45.97,250.95,286.64,135.02,71.5,62.88,72.95,30.24,44.81,111.27,21.83,47.73,63.485,134.17,44.92,102.77,61.4,22.05,33.91,102.68,36.2,59.21,79.24,27.81,66.48,366.9,110.34,33.39,50.26,75.5,124.21,45.58,,24.2,111.5,23.12,20.25,39.01,12.75,,22.6,,77.0,80.97,120.55,19.21,59.5,15.24,56.99,145.07,53.07,75.61,55.18,20.34,87.03,47.97,75.12,,106.64,11.18,161.74,182.43,150.67,57.05,110.55,952.51,56.63,57.53,37.97,80.93,,63.36,22.69,238.34,53.8,72.95,73.6,62.56,30.63,104.06,28.846999999999998,71.58,150.56,34.97,53.03,37.05,24.748,111.52,20.94
2017-07-28,116.61,64.6,65.66,15.54,57.32,102.5,52.88,17.51,67.65,31.03,79.81,122.42,2625.0,78.2,29.25,,43.93,47.41,526.92,23.79,64.47,35.271,25.43,21.61,91.01,53.41,84.97,45.62,35.15,75.24,63.63,46.01,69.0,36.5,46.02,60.28,121.72,89.95,46.32,89.11,107.08,95.59,,128.43,46.89,128.6,53.6,37.47,47.7,17.26,45.4,14.14,42.5,38.07,335.07,13.95,92.98,81.89,,90.83,0.96,47.4,41.24,76.43,36.67,20.41,54.87,111.65,99.0,90.84,37.48,79.2,1020.04,34.24,,34.8,88.7,105.39,96.34,30.43,29.91,39.52,65.44,20.14,39.21,52.75,152.89,92.3,119.94,350.5,53.41,45.6,184.04,85.46,248.6,78.43,,142.72,118.25,41.89,35.77,24.35,43.82,52.25,63.37,76.13,56.11,118.51,79.24,66.94,43.49,105.76,90.62,90.21,200.03,87.64,148.08,43.23,79.62,155.85,61.45,161.6,61.85,29.75,211.93,109.96,13.81,61.28,80.1,3.64,41.92,71.8,51.32,79.84,71.49,32.61,,15.59,30.01,69.32,41.78,177.76,28.09,135.64,34.15,35.04,83.85,55.33,47.67,73.04,35.85,18.13,137.02,14.64,61.83,169.96,22.79,61.9,172.45,108.24,26.8,48.56,33.75,70.46,35.94,60.06,,39.44,106.07,31.52,46.91,56.03,194.59,21.74,94.4,29.3,63.94,26.41,5.81,102.62,35.89,55.32,89.02,33.84,50.3,78.9,45.25,46.32,24.28,58.67,83.93,128.4,152.05,146.73,63.67,38.84,,110.22,46.64,155.47,16.75,11.85,34.48,54.74,79.71,19.44,150.4,26.2,95.52,23.04,128.03,154.05,37.01,23.48,45.66,250.37,288.87,133.7,69.87,61.21,72.55,29.28,48.87,111.37,21.81,47.53,63.115,132.77,45.22,102.76,58.65,22.23,34.53,103.25,36.55,58.89,79.85,27.77,66.79,370.26,110.21,33.14,48.86,75.46,122.45,45.47,,23.93,116.2,23.27,20.0,39.21,12.4,,22.8,,76.48,80.71,121.3,19.17,54.0,15.08,57.99,144.29,52.85,75.0,55.43,20.54,85.78,48.69,74.75,,105.74,11.17,164.39,183.09,149.17,57.64,109.77,958.33,56.61,56.62,37.14,80.7,,63.0,22.37,248.65,53.3,72.54,63.9,62.46,30.86,103.34,29.02,71.92,149.5,35.31,52.43,37.8,25.443,111.5,20.35
2017-07-31,116.61,64.37,65.67,15.44,57.42,101.17,53.19,17.51,68.0,30.99,79.99,121.9,2610.44,76.35,29.14,,44.02,48.31,539.82,23.83,64.74,35.575,25.75,21.61,90.68,53.31,85.12,45.55,34.8,75.65,63.76,45.84,68.56,37.32,47.19,59.58,120.75,90.42,46.43,88.98,107.32,96.61,,129.55,47.14,129.34,53.44,36.91,47.3,17.3,44.7,13.85,42.5,38.4,323.47,13.61,92.37,80.39,,91.22,0.94,47.53,41.35,76.57,37.34,19.52,55.32,110.45,98.99,91.16,37.27,79.01,987.78,34.24,,35.155,89.66,105.35,95.51,30.67,29.17,40.45,64.86,20.16,38.76,53.03,158.51,92.71,119.29,343.77,52.75,44.8,181.66,85.93,251.21,78.38,,142.55,116.74,41.9,35.98,24.42,43.98,52.62,63.43,76.62,56.67,116.71,79.01,64.97,43.42,104.87,90.8,90.82,204.3,87.46,149.6,42.98,80.67,155.14,61.78,159.46,62.19,30.01,210.76,109.93,13.67,61.61,79.48,3.61,41.59,72.08,50.19,79.66,71.33,32.96,,15.56,29.32,69.32,42.18,177.88,28.15,137.21,34.17,35.47,83.88,55.66,47.58,72.7,35.69,17.25,136.34,14.37,61.64,171.81,22.66,62.6,169.25,108.12,24.6,48.57,32.8,70.09,35.73,60.01,,39.86,105.31,31.45,46.74,56.08,193.35,21.245,92.63,29.9,64.03,25.91,5.86,102.32,35.79,55.19,85.24,33.01,49.93,78.74,44.31,45.47,24.52,59.05,84.93,128.82,152.06,146.49,63.26,38.59,,110.33,46.13,155.45,16.09,11.84,34.59,54.98,78.98,20.02,149.29,26.35,95.3,22.92,128.32,156.8,36.9,23.65,46.39,246.66,288.42,131.78,65.13,62.11,72.35,28.12,49.31,108.68,22.13,46.96,64.25,133.49,45.16,101.72,57.67,22.06,34.56,102.11,36.44,59.47,78.39,27.95,66.25,391.91,112.01,32.93,48.67,75.86,123.16,45.44,,23.75,116.45,22.92,20.4,38.9,12.35,,22.95,,77.4,81.38,120.6,19.1,53.98,14.95,56.87,144.67,52.83,75.48,55.57,20.48,87.03,47.14,75.16,,105.88,11.22,162.51,186.5,148.19,58.34,109.48,945.5,56.87,56.12,35.82,80.04,,63.36,21.95,248.99,53.35,72.2,61.7,62.53,30.73,104.19,28.94,72.16,148.73,35.47,52.44,38.1,26.128,110.79,20.12
2017-08-01,115.92,64.81,66.16,15.41,57.77,99.37,53.41,17.55,67.46,31.19,80.5,120.74,2646.01,75.78,29.52,,43.62,49.39,547.86,23.88,65.2,35.686,25.99,21.74,91.95,53.42,85.67,45.48,35.5,75.73,64.6,45.7,68.07,37.08,46.87,59.25,121.15,89.83,46.22,89.19,107.38,97.06,,130.23,47.53,128.0,53.32,36.8,49.3,17.3,44.45,13.55,42.0,39.32,319.57,13.71,104.08,79.85,,91.87,0.96,52.64,41.56,76.77,36.66,18.71,55.6,110.75,98.61,91.05,37.54,79.85,996.19,33.83,,35.36,90.35,105.68,95.86,32.46,28.99,40.34,65.75,20.36,38.69,52.83,159.72,92.7,120.01,347.24,53.12,47.4,182.03,86.04,255.27,79.33,,143.12,116.92,41.99,34.76,24.89,44.04,52.58,63.97,77.38,56.86,115.88,78.95,65.5,43.55,104.28,91.22,91.1,208.16,86.67,149.85,43.11,81.13,154.04,62.4,157.46,62.52,30.32,211.92,110.61,13.1,61.23,79.93,3.62,41.99,73.01,49.99,78.11,71.13,33.37,,15.77,28.98,69.51,43.3,176.48,28.21,137.43,34.14,35.61,84.8,55.2,47.57,72.58,36.08,17.06,136.84,14.31,61.61,172.29,22.91,63.7,169.86,108.15,24.38,48.94,32.55,71.19,35.91,60.19,,40.36,105.65,31.65,45.83,56.36,194.75,21.44,92.63,30.1,65.49,26.15,5.79,103.2,36.49,55.48,86.23,33.28,50.16,79.15,44.1,46.47,24.6,59.84,84.96,129.86,154.2,147.36,63.56,39.44,,111.1,47.22,155.9,16.21,11.85,34.5,55.33,79.61,18.3,147.8,26.81,95.25,23.39,128.22,158.35,36.72,23.6,46.27,248.39,288.88,133.08,63.11,63.45,73.65,28.34,49.65,107.62,19.81,47.09,64.635,133.13,45.47,101.15,59.74,22.2,34.26,103.51,36.76,59.93,78.06,28.27,66.65,387.42,114.05,32.41,48.86,76.48,121.69,45.67,,23.98,116.8,23.04,20.3,39.76,12.2,,23.3,,77.83,81.71,120.35,19.14,54.73,15.05,56.86,145.3,52.52,75.53,56.18,20.23,88.23,47.79,75.52,,105.95,10.95,164.49,186.45,146.23,59.48,110.05,946.56,57.65,56.19,36.29,80.33,,62.9,22.69,252.07,53.01,71.7,62.35,62.77,30.91,105.13,28.973000000000003,72.77,150.05,36.35,53.38,38.6,25.858,111.38,19.76
