asset,optimal_weights
ADSK,-0.011503998495210714
FISV,0.047673834510680704
IBM,0.040413424753202885
JCOM,0.13598459285432063
WDC,0.02680746423459617
LDOS,0.01165251349047305
FLIR,0.013118285549207931
SAIC,0.054996450281668656
HQY,0.010332704655103076
AMZN,-0.013185265241135478
AMD,0.010370625062827715
CACI,0.02813648969053378
EA,-0.011475599193239167
PLAY,0.009825789454472374
PII,-0.0239882340105499
BURL,0.02351593041871869
WHR,-0.012419147791968007
THO,-0.024015000923825063
PKG,-0.029425862923896345
BWA,-0.014295993267759854
TSCO,-0.06899496618001764
OMC,0.009432311530503893
JWN,0.011890132377595439
LOW,-0.06842195074406875
DHI,-0.016887603904345443
POOL,-0.018798445925924535
KHC,-0.030784806527959774
CLX,-0.02941304854087453
CHD,-0.026390076329224858
KO,0.16584945113609506
