Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES
20171019,219.24,56.0,96.48,172.21,138.62,61.99,171.73,13.95,86.92,11.29
20171020,221.32,56.32,96.1,174.62,139.49,62.63,175.64,13.81,86.78,11.13
20171023,221.55,56.08,94.51,176.0,139.33,61.46,172.16,14.1,85.91,11.13
20171024,234.65,55.38,91.69,176.71,138.91,62.73,171.58,14.25,84.25,10.99
20171025,237.68,55.49,91.77,171.37,141.16,61.81,171.83,12.33,83.31,10.9
20171026,232.94,55.48,89.56,179.59,141.97,62.06,173.75,12.005,85.65,10.86
20171027,234.74,55.37,91.93,181.07,143.28,64.14,177.33,11.84,81.93,10.78
20171030,231.02,54.29,90.96,179.48,143.29,65.3,176.03,10.89,82.0,10.74
20171031,230.19,54.23,90.25,192.92,142.36,65.49,175.16,10.985,81.74,10.63
20171101,230.18,54.0,92.44,188.89,142.96,65.33,176.25,10.8,80.75,10.57
20171102,232.23,54.37,91.02,190.05,143.43,65.45,180.94,10.85,81.69,10.79
20171103,232.22,55.47,92.31,194.9,144.04,63.2,182.3,11.12,81.8,10.49
20171106,230.31,55.01,92.96,196.55,143.93,60.87,180.8,11.93,80.71,10.35
20171107,230.05,55.16,93.96,197.21,143.5,60.96,180.88,12.05,79.38,10.51
20171108,229.83,55.25,95.71,196.97,144.89,64.55,184.06,11.71,79.41,10.51
20171109,228.39,55.45,95.89,195.54,143.83,63.31,181.92,11.12,80.45,10.3
20171110,227.45,54.8,95.43,195.21,143.89,63.0,181.72,11.26,81.22,10.23
20171113,228.22,55.3,95.12,195.13,143.92,63.62,181.85,11.09,82.28,10.82
20171114,229.33,55.01,94.75,193.75,144.96,64.03,181.32,11.12,95.72,10.84
20171115,227.4,54.83,93.76,193.11,144.26,62.89,180.08,11.07,91.58,10.87
20171116,229.42,55.54,94.47,194.91,147.04,64.13,182.3,11.25,90.5,10.77
20171117,229.36,55.56,93.61,194.32,145.45,64.1,182.24,11.38,89.27,10.61
20171120,231.49,55.29,93.6,195.59,146.57,63.93,182.34,11.34,91.43,10.6
20171121,234.09,56.12,94.68,199.58,148.01,64.5,184.15,11.4,88.93,10.63
20171122,231.58,55.8,94.47,198.86,147.11,65.14,182.9,11.37,89.62,10.68
20171124,231.38,56.13,94.72,199.74,147.63,66.03,184.46,11.38,89.23,10.69
20171127,234.0,56.15,95.42,198.45,147.5,65.74,185.0,11.55,89.87,10.74
20171128,235.63,56.02,95.42,197.33,148.04,65.97,185.4,11.17,92.84,10.57
20171129,238.01,55.58,95.82,194.15,146.95,62.01,176.85,10.83,99.95,10.61
20171130,243.14,56.37,96.92,194.84,148.01,62.4,181.47,10.89,101.0,10.58
20171201,241.15,55.98,96.32,194.6,146.57,61.96,179.52,10.73,99.28,10.67
20171204,239.26,54.71,95.22,189.57,147.15,58.6,168.44,10.03,104.02,10.77
20171205,238.26,54.79,95.41,187.96,147.67,59.55,167.54,9.91,101.15,10.72
20171206,238.67,54.66,94.4,187.0,148.27,60.75,173.52,10.0,97.5,10.83
20171207,240.3,54.69,94.24,187.91,148.6,61.57,174.61,10.04,97.61,10.7
20171208,238.13,54.64,95.95,191.36,150.53,62.43,173.57,9.94,100.31,10.76
20171211,239.3,54.94,96.47,193.43,150.69,63.17,174.31,10.16,100.85,10.86
20171212,236.58,55.7,96.3,192.94,152.1,64.4,172.54,9.9,103.03,10.72
20171213,239.11,55.06,97.35,193.06,151.42,64.6,176.83,10.11,102.5,10.65
20171214,238.08,54.73,96.3,188.44,151.21,65.03,175.0,10.13,100.2,10.63
20171215,238.0,55.5,97.45,188.71,152.66,66.73,177.51,10.29,100.7,10.8
20171218,238.42,56.4,98.19,190.07,151.72,66.01,176.74,10.98,102.71,10.95
20171219,238.39,56.8,97.92,193.89,152.22,64.9,174.97,10.95,99.73,10.65
20171220,236.92,57.02,97.41,193.69,151.75,64.38,174.25,10.98,98.59,10.58
20171221,234.78,56.93,97.91,190.63,154.2,65.08,174.56,10.89,100.13,10.62
20171222,234.73,56.93,98.21,191.64,153.89,64.51,175.0,10.54,100.55,10.71
20171226,235.45,57.0,97.75,189.54,152.99,63.45,174.44,10.46,101.96,10.64
20171227,236.2,57.47,98.09,190.42,153.32,63.34,175.36,10.53,99.77,10.67
20171228,235.72,57.46,97.79,190.55,153.57,63.4,175.55,10.55,99.71,10.76
20171229,235.37,57.07,96.71,187.41,153.09,63.32,175.24,10.28,99.69,10.83
20180102,235.64,58.79,98.41,192.49,153.84,64.31,177.7,10.98,106.09,10.88
20180103,235.63,58.92,99.95,195.82,154.55,65.31,181.04,11.55,107.05,10.87
20180104,238.71,58.82,99.38,199.25,156.38,64.66,183.22,12.12,111.0,10.83
20180105,240.57,58.99,101.11,202.32,157.67,66.37,185.34,11.88,112.18,10.87
20180108,239.79,58.82,99.49,207.8,158.93,66.63,185.04,12.28,111.39,10.87
20180109,241.28,58.92,100.24,209.76,159.46,66.19,186.7,11.82,110.49,10.76
20180110,241.14,58.83,99.69,208.14,158.9,66.83,187.11,11.96,110.59,10.78
20180111,242.31,58.95,99.27,210.15,159.11,69.24,188.92,12.14,112.95,10.96
20180112,244.47,58.84,100.34,215.11,160.11,70.36,195.05,12.02,115.94,11.04
20180116,244.74,58.44,102.49,218.09,157.96,68.71,192.46,11.91,113.9,10.68
20180117,248.11,58.99,104.36,224.13,160.21,70.36,196.49,12.18,115.35,10.72
20180118,245.91,59.07,103.81,225.89,160.94,69.8,196.2,12.47,115.53,11.53
20180119,248.18,59.31,104.64,228.29,161.75,70.57,195.73,12.59,117.02,11.75
20180122,247.3,59.57,106.49,228.18,161.43,71.3,197.84,12.65,118.03,11.38
20180123,246.31,59.23,105.38,230.27,160.88,71.55,200.09,12.94,119.1,11.42
20180124,247.69,61.72,105.51,232.95,160.6,70.08,197.78,12.71,120.99,11.16
20180125,252.36,63.22,108.3,236.32,160.79,70.82,197.51,12.41,120.92,11.49
20180126,258.63,63.42,123.21,238.89,162.55,72.52,201.3,12.95,123.64,11.72
20180129,256.01,63.31,122.31,236.65,161.19,72.45,198.23,13.32,122.89,11.81
20180130,251.54,62.44,115.88,235.06,159.7,71.61,196.9,12.87,119.27,11.61
20180131,250.5,62.16,112.22,235.0,160.7,74.13,199.76,13.74,116.99,11.56
20180201,247.94,62.18,116.34,253.13,160.46,73.35,199.38,13.25,117.29,11.51
20180202,245.17,61.69,115.17,248.2,156.9,71.42,195.64,12.45,113.93,11.12
20180205,231.44,58.73,109.51,239.37,151.83,67.98,190.27,11.57,109.86,10.6
20180206,233.63,58.86,111.2,232.11,154.69,69.7,194.47,11.65,112.2,10.58
20180207,233.19,58.67,113.62,239.02,155.15,69.46,192.34,11.6,109.93,10.48
20180208,222.89,56.27,108.48,229.5,150.51,65.83,185.16,11.22,109.63,10.06
20180209,225.21,57.17,111.3,229.38,153.84,67.08,187.99,11.31,109.14,10.2
20180212,229.19,57.41,111.93,233.72,154.95,68.32,192.15,11.68,109.48,10.27
20180213,231.36,57.64,111.86,233.99,156.84,68.03,193.48,11.78,106.22,10.32
20180214,232.0,58.28,113.08,255.47,159.79,69.65,197.13,12.2,109.02,10.27
20180215,234.87,59.5,114.9,261.04,161.06,71.99,202.97,12.19,108.78,10.52
20180216,236.67,60.17,118.6,267.74,162.66,70.19,201.56,11.82,107.57,10.45
20180220,235.07,59.12,117.98,270.48,161.44,70.84,202.98,12.02,105.35,10.4
20180221,232.18,58.99,117.91,268.25,160.46,70.22,202.09,11.72,114.0,10.23
20180222,236.0,58.99,117.56,263.97,160.32,69.49,202.61,11.84,110.49,10.3
20180223,237.02,59.71,118.75,268.45,162.95,72.07,209.74,12.07,116.32,10.49
20180226,244.14,60.53,121.54,273.18,164.74,73.16,212.15,12.42,114.85,10.45
20180227,240.78,60.55,118.26,271.25,162.55,72.61,208.82,12.53,109.8,11.22
20180228,235.51,60.33,115.83,268.18,161.01,73.13,209.13,12.11,114.25,10.87
20180301,231.34,58.79,113.84,265.71,156.15,72.01,206.03,11.9,117.51,10.96
20180302,230.37,59.46,115.04,275.13,157.5,74.01,209.79,11.81,116.07,10.86
20180305,232.81,60.37,115.66,279.27,158.85,75.1,211.16,11.91,116.36,10.98
20180306,233.66,60.88,114.56,281.54,158.03,73.92,212.01,11.76,118.59,10.93
20180307,235.57,61.29,114.72,285.38,158.55,74.07,216.86,12.24,116.77,10.8
20180308,236.34,61.87,117.01,288.6,158.5,76.81,216.4,11.97,115.75,10.84
20180309,241.35,63.6,119.29,294.52,161.51,78.22,221.11,11.7,118.86,10.85
20180312,239.8,63.62,118.3,294.74,161.69,76.86,220.94,11.52,118.41,10.74
20180313,237.57,63.2,119.75,293.17,162.49,75.93,219.76,11.64,119.0,10.67
20180314,234.29,62.86,118.94,295.85,161.0,74.22,218.44,11.36,117.06,10.7
20180315,235.87,62.59,114.93,294.57,162.86,73.38,218.87,11.46,117.1,10.69
20180316,237.22,63.18,113.71,293.05,160.89,71.68,225.55,11.47,116.63,10.84
20180319,231.56,62.26,112.03,287.98,160.62,71.05,222.18,11.43,115.87,10.77
20180320,232.45,62.65,112.65,294.01,162.88,71.37,229.75,11.11,114.25,10.71
20180321,234.14,62.42,112.45,292.31,162.03,71.61,226.85,11.26,115.24,10.8
20180322,223.17,60.93,98.1,286.39,150.23,69.76,220.52,10.91,111.71,10.82
20180323,215.36,59.5,97.46,283.99,147.35,68.04,215.02,10.63,110.84,10.72
20180326,220.24,61.07,95.28,295.4,152.85,70.08,228.91,10.44,114.77,10.84
20180327,215.87,60.28,92.01,286.43,148.86,66.29,213.8,10.0,115.01,10.95
20180328,216.54,59.23,94.27,282.99,147.41,65.97,212.54,9.81,115.98,11.23
20180329,219.52,59.92,94.65,290.99,153.5,67.46,216.08,10.05,118.55,11.37
20180402,212.62,58.21,91.46,279.11,147.98,65.09,212.28,9.53,111.93,11.37
20180403,216.33,59.0,90.59,278.07,148.79,65.48,215.93,9.55,111.91,11.5
20180404,217.56,59.46,92.94,288.53,149.97,66.27,225.05,9.77,114.48,11.39
20180405,218.67,59.86,92.21,292.13,151.57,66.53,223.54,10.02,116.39,11.5
20180406,212.25,57.57,89.78,286.22,147.38,64.56,218.61,9.61,111.91,11.42
20180409,212.81,58.22,90.48,288.12,148.25,65.77,219.17,9.53,110.35,11.39
20180410,216.98,59.14,93.62,300.28,152.05,66.52,224.53,9.98,112.14,11.43
20180411,214.33,58.45,93.64,296.4,148.4,65.85,223.63,9.82,110.93,11.42
20180412,216.42,58.83,92.12,296.94,150.09,67.22,226.96,10.08,110.57,11.29
20180413,215.52,58.49,91.83,296.74,150.13,65.88,224.06,9.93,106.61,11.34
20180416,217.7,59.27,92.6,296.32,151.42,66.56,226.52,10.09,106.45,11.57
20180417,220.09,59.8,93.59,304.43,154.24,68.28,231.16,10.52,108.2,11.74
20180418,219.52,59.52,94.32,307.63,155.52,68.69,231.1,10.36,107.39,11.75
20180419,218.85,59.88,93.01,306.45,154.59,67.68,227.62,10.11,105.18,11.75
20180420,217.75,59.19,92.6,305.92,152.41,66.3,225.24,9.99,103.76,11.62
20180423,215.88,58.84,93.17,302.65,153.04,66.23,225.3,10.04,105.52,11.86
20180424,201.13,58.31,91.36,290.93,151.07,65.34,217.89,10.09,106.93,12.0
20180425,198.84,58.65,91.87,293.2,150.09,64.82,217.32,9.71,107.82,12.03
20180426,197.09,59.5,97.44,303.41,152.29,66.34,221.91,11.04,113.18,12.17
20180427,196.12,59.56,98.73,301.74,152.39,65.79,221.9,11.11,116.34,12.31
20180430,194.39,58.13,96.55,300.95,151.2,66.35,221.6,10.88,114.45,12.24
20180501,195.02,58.82,102.07,310.5,151.92,67.8,224.08,11.13,115.58,12.21
20180502,194.5,57.85,100.37,302.14,150.71,68.39,221.1,10.97,115.9,12.19
20180503,195.68,57.93,100.28,335.57,151.73,66.82,226.05,10.93,115.43,12.3
20180504,199.36,58.74,100.17,349.28,153.44,69.84,228.51,11.28,116.67,12.33
20180507,200.26,59.32,99.63,347.57,152.3,70.37,230.99,11.59,116.14,12.37
20180508,201.74,58.71,99.4,347.38,151.94,69.61,234.56,11.61,116.8,11.73
20180509,203.42,59.4,101.18,358.16,154.62,71.31,239.74,11.95,117.99,12.07
20180510,205.03,60.56,102.85,368.88,156.54,72.9,241.15,12.13,118.23,12.31
20180511,205.16,61.26,104.18,372.68,157.08,71.7,241.88,11.95,119.94,12.29
20180514,205.76,62.02,105.89,375.67,155.57,71.7,238.37,12.23,121.61,12.35
20180515,202.41,60.54,104.18,380.35,154.07,70.17,236.6,12.45,119.92,12.3
20180516,200.21,60.77,105.04,381.97,154.08,70.33,237.39,12.82,119.03,12.28
20180517,200.36,61.06,105.32,379.94,154.93,71.66,236.85,12.82,119.79,12.05
20180518,198.96,61.71,105.98,384.36,155.31,71.99,238.09,13.0,118.32,11.93
20180521,201.76,62.11,106.23,379.17,156.94,71.45,238.1,12.99,119.15,12.06
20180522,198.97,61.39,106.23,386.35,155.33,71.35,238.79,12.98,115.33,12.2
20180523,198.67,61.84,105.6,395.52,155.31,71.74,243.91,13.1,123.25,12.19
20180524,199.41,62.51,103.14,394.46,155.59,70.8,245.15,13.41,125.17,12.39
20180525,199.03,62.37,101.08,394.28,155.99,71.46,243.56,13.54,124.91,12.41
20180529,195.74,61.3,99.47,387.4,153.54,70.64,242.19,13.36,123.96,12.41
20180530,198.68,62.07,103.01,388.57,156.03,70.69,247.4,13.82,128.53,12.67
20180531,197.23,61.53,98.94,381.14,155.74,70.91,249.28,13.73,128.62,12.75
20180601,199.59,62.41,98.05,392.25,158.89,73.03,251.31,14.4,128.34,12.79
